City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
277,Orlik,RU,52.5178,99.825,20.62,88,100,1.77,overcast clouds
278,Belmonte,BR,-15.8631,-38.8828,84.2,58,40,10.36,scattered clouds
279,Lichinga,MZ,-13.3128,35.2406,68.0,83,40,6.91,scattered clouds
280,Cabra,ES,37.4725,-4.4421,69.8,40,0,5.75,clear sky
281,Henties Bay,NA,-22.116,14.2845,63.0,92,7,7.0,clear sky
282,Buloh Kasap,MY,2.5536,102.764,77.0,94,20,1.14,few clouds
283,Lebu,CL,-37.6167,-73.65,58.98,63,10,18.14,clear sky
284,Calama,CL,-22.4667,-68.9333,71.6,17,0,24.16,clear sky
285,Naze,JP,28.3667,129.4833,61.79,92,100,10.02,overcast clouds
286,Komsomolskiy,UZ,40.4272,71.7189,60.8,33,59,9.22,broken clouds
287,Siocon,PH,7.7061,122.1353,79.25,84,99,2.91,overcast clouds
288,Zakamensk,RU,50.3741,103.2863,24.46,89,99,1.92,overcast clouds
289,Cuncolim,IN,15.1667,73.9833,82.4,69,75,2.3,broken clouds
290,Mount Isa,AU,-20.7333,139.5,75.2,78,40,1.14,scattered clouds
291,Lazurne,UA,46.084,32.5295,33.8,100,75,13.42,mist
292,Roebourne,AU,-20.7833,117.1333,82.0,63,1,6.49,light rain
293,Mbandaka,CD,0.0487,18.2603,74.64,88,79,3.65,broken clouds
294,Garowe,SO,8.4054,48.4845,74.3,50,2,16.22,clear sky
295,Westport,US,41.1415,-73.3579,59.0,29,100,1.01,overcast clouds
296,North Fort Myers,US,26.6673,-81.8801,82.0,65,75,10.11,broken clouds
297,Arecibo,PR,18.4724,-66.7157,84.0,69,5,5.99,clear sky
298,Havre,FR,49.5833,0.3333,50.0,76,90,3.44,overcast clouds
299,Tadine,NC,-21.55,167.8833,73.92,74,55,8.9,broken clouds
300,Jumla,NP,29.2747,82.1838,37.76,78,81,5.48,broken clouds
301,Viedma,AR,-40.8135,-62.9967,69.03,38,45,19.39,scattered clouds
302,Axim,GH,4.8699,-2.2405,81.18,79,88,9.19,moderate rain
303,Auki,SB,-8.7676,160.7034,76.12,85,73,3.33,broken clouds
304,Siniscola,IT,40.5719,9.6922,55.4,50,0,3.44,clear sky
305,Ancud,CL,-41.8697,-73.8203,59.0,47,75,10.36,broken clouds
306,Okhotsk,RU,59.3833,143.3,2.52,96,100,4.23,overcast clouds
307,Baghmara,IN,23.795,86.2085,84.0,18,17,8.68,few clouds
308,Atkinson,US,42.8384,-71.147,61.0,41,1,8.05,clear sky
309,Nyzhni Sirohozy,UA,46.8484,34.3804,34.11,97,100,9.73,overcast clouds
310,Alyangula,AU,-13.8483,136.4192,82.47,80,99,8.61,light rain
311,Opelousas,US,30.5335,-92.0815,75.2,60,75,8.05,broken clouds
312,Aklavik,CA,68.2191,-135.0107,5.0,61,100,2.3,overcast clouds
313,Manavalakurichi,IN,8.1333,77.3,86.0,79,20,4.14,mist
314,Lovozero,RU,68.005,35.0117,34.48,97,100,7.36,overcast clouds
315,Huarmey,PE,-10.0681,-78.1522,77.09,69,75,10.83,broken clouds
316,Thompson,CA,55.7435,-97.8558,6.8,56,40,11.5,scattered clouds
317,North Bend,US,43.4065,-124.2243,46.0,93,90,9.22,mist
318,Pacific Grove,US,36.6177,-121.9166,63.0,39,1,5.75,clear sky
319,Ilulissat,GL,69.2167,-51.1,-4.0,71,75,12.66,snow
320,Mogadishu,SO,2.0371,45.3438,79.66,73,0,14.56,clear sky
321,Tura,IN,25.5198,90.2201,76.37,19,0,2.06,clear sky
322,Dobroye,RU,52.8678,39.8109,25.05,91,11,9.46,few clouds
323,Teguldet,RU,57.3064,88.1667,27.88,93,100,13.31,light snow
324,Vardo,NO,70.3705,31.1107,33.8,86,20,19.57,few clouds
325,Birjand,IR,32.8663,59.2211,62.6,16,0,6.91,clear sky
326,Rio Grande,BR,-32.035,-52.0986,79.0,65,75,12.66,broken clouds
327,Bagula,IN,23.3167,88.65,79.99,41,7,7.07,clear sky
328,Ubauro,PK,28.1652,69.7289,75.02,37,46,9.28,scattered clouds
